English Term,Lemma,IPA,Russian Pronunciation,Russian Translation,POS Mode,Part of Speech (EN),Part of Speech (RU),Frequency
appliance,appliance,əˈplaɪəns,эплайнс,прибор,wordnet,noun,существительное,2
appointment,appointment,əˈpɔɪntmənt,эпойнтмнт,встреча,wordnet,noun,существительное,1
apprentice,apprentice,əˈprɛntɪs,эпрэнтис,ученик,wordnet,noun,существительное,2
approval,approval,əˈpruvəl,эпрувл,одобрение,wordnet,noun,существительное,1
aqua,aqua,ˈɑkwə,акуэ,вода,wordnet,noun,существительное,1
aquarium,aquarium,əkˈwɛriəm,экуэрим,аквариум,wordnet,noun,существительное,3
ara,ara,ˈærə,эрэ,ара,wordnet,noun,существительное,1
arch,arch,ɑrʧ,арч,арка,wordnet,noun,существительное,1
argon,argon,ˈɑrˌgɑn,арган,аргон,wordnet,noun,существительное,2
argues,argues,ˈɑrgjuz,аргйуз,утверждает,wordnet,verb,глагол,1
ari,ari,ˈɑri,ари,Ари,wordnet,,,1
arkansas,arkansas,ˈɑrkənˌsɑ,аркнса,Арканзас,wordnet,noun,существительное,1
arrange,arrange,əreɪnʤ,эрэйндж,договариваться,wordnet,verb,глагол,1
arrived,arrived,əraɪvd,эрайвд,приехал,wordnet,verb,глагол,1
ary,ary,ˈɛri,эри,ари,wordnet,,,3
ash,ash,æʃ,эш,пепел,wordnet,noun,существительное,1
asparagus,asparagus,əˈspɛrəgəs,эспэрэгэс,спаржа,wordnet,noun,существительное,1
asserted,asserted,əˈsərtəd,эсэртэд,утверждал,wordnet,verb,глагол,1
asserts,asserts,əˈsərts,эсэртс,утверждает,wordnet,verb,глагол,1
assistant,assistant,əˈsɪstənt,эсистнт,помощник,wordnet,noun,существительное,2
assurance,assurance,əˈʃʊrəns,эшурнс,гарантия,wordnet,noun,существительное,1
asynchronous,asynchronous,ˈeɪˈsɪŋkrənəs,эйсинкрнэс,асинхронный,wordnet,adj,прилагательное,1
ata,ata,ˈɑtə,атэ,ата,wordnet,,,4
ate,ate,eɪt,эйт,ел,wordnet,noun,существительное,3
atlanta,atlanta,æˈtlæntə,этлэнтэ,Атланта,wordnet,noun,существительное,1
atm,atm,ˈeɪˌtiˈɛm,эйтиэм,банкомат,wordnet,noun,существительное,1
atom,atom,ˈætəm,этм,атом,wordnet,noun,существительное,2
atomic,atomic,əˈtɑmɪk,этамик,атомный,wordnet,adj,прилагательное,3
attachment,attachment,əˈtæʧmənt,этэчмнт,вложение,wordnet,noun,существительное,18
attributing,attributing,əˈtrɪbjətɪŋ,этрибйэтин,приписывание,wordnet,verb,глагол,1
audio,audio,ˈɑdiˌoʊ,адиоу,аудио,wordnet,noun,существительное,51
audit,audit,ˈɔdɪt,одит,аудит,wordnet,noun,существительное,3
audrey,audrey,ˈɔdri,одри,Одри,wordnet,,,1
august,august,ˈɔgəst,огэст,август,wordnet,noun,существительное,1
augusta,augusta,əˈgəstə,эгэстэ,Августа,wordnet,noun,существительное,1
austin,austin,ˈɔstən,остн,Остин,wordnet,noun,существительное,1
authorize,authorize,ˈɔθərˌaɪz,осэрайз,разрешать,wordnet,verb,глагол,1
avenue,avenue,ˈævəˌnu,эвну,проспект,wordnet,noun,существительное,1
awkward,awkward,ˈɔkwərd,окуэрд,неуклюжий,wordnet,adj,прилагательное,1
azeri,azeri,əˈzɛri,эзэри,азербайджанец,wordnet,noun,существительное,2
backed,backed,bækt,бэкт,поддержанный,wordnet,verb,глагол,4
backing,backing,ˈbækɪŋ,бэкин,поддержка,wordnet,noun,существительное,1
backslashes,backslashes,ˈbæksˌlæʃəz,бэкслэшэз,обратная косая черта,wordnet,,,11
badger,badger,ˈbæʤər,бэджэр,барсук,wordnet,noun,существительное,5
bak,bak,bæk,бэк,бак,wordnet,,,1
band,band,bænd,бэнд,группа,wordnet,noun,существительное,2
bandwidth,bandwidth,ˈbændwɪdθ,бэндуидс,пропускная способность,wordnet,noun,существительное,1
banker,banker,ˈbæŋkər,бэнкэр,банкир,wordnet,noun,существительное,1
batchelder,batchelder,ˈbæˌʧɛldər,бэчэлдэр,дозатор,wordnet,,,1
bay,bay,beɪ,бэй,залив,wordnet,noun,существительное,1
bbc,bbc,ˌbibiˈsi,бибиси,Би-би-си,wordnet,,,1
bean,bean,bin,бин,фасоль,wordnet,noun,существительное,9
beep,beep,bip,бип,звуковой сигнал,wordnet,noun,существительное,2
beer,beer,bɪr,бир,пиво,wordnet,noun,существительное,9
beethoven,beethoven,ˈbeɪtoʊvən,бэйтоувн,Бетховен,wordnet,noun,существительное,1
begging,begging,ˈbɛgɪŋ,бэгин,попрошайничество,wordnet,noun,существительное,1
beheld,beheld,biˈhɛld,бихэлд,видел,wordnet,verb,глагол,1
believing,believing,bɪˈlivɪŋ,биливин,веря,wordnet,noun,существительное,1
bengal,bengal,ˈbɛŋgəl,бэнгл,бенгальский,wordnet,noun,существительное,10
bet,bet,bɛt,бэт,ставка,wordnet,noun,существительное,2
bethel,bethel,ˈbɛθəl,бэсл,Вефиль,wordnet,noun,существительное,1
billion,billion,ˈbɪljən,билйн,миллиард,wordnet,noun,существительное,3
binder,binder,ˈbaɪndər,байндэр,связующее,wordnet,noun,существительное,2
binding,binding,ˈbaɪndɪŋ,байндин,обязательность,wordnet,noun,существительное,2
biologist,biologist,baɪˈɑləʤɪst,байалэджист,биолог,wordnet,noun,существительное,2
bird,bird,bərd,бэрд,птица,wordnet,noun,существительное,2
birdie,birdie,ˈbərdi,бэрди,птичка,wordnet,noun,существительное,1
bismarck,bismarck,ˈbɪzˌmɑrk,бизмарк,Бисмарк,wordnet,noun,существительное,1
blatantly,blatantly,ˈbleɪtəntli,блэйтнтли,явно,wordnet,adv,наречие,1
blaze,blaze,bleɪz,блэйз,полыхать,wordnet,noun,существительное,1
bled,bled,blɛd,блэд,истекать кровью,wordnet,verb,глагол,1
bloated,bloated,ˈbloʊtɪd,блоутид,раздутый,wordnet,verb,глагол,1
blob,blob,blɑb,блаб,капля,wordnet,noun,существительное,1
blocked,blocked,blɑkt,блакт,заблокирован,wordnet,verb,глагол,2
bobby,bobby,ˈbɑbi,баби,Бобби,wordnet,noun,существительное,2
bol,bol,bɑl,бал,бол,wordnet,,,1
boole,boole,bul,бул,буль,wordnet,noun,существительное,1
borin,borin,ˈbɔrɪn,борин,борин,wordnet,,,1
born,born,bɔrn,борн,рожденный,wordnet,noun,существительное,4
bos,bos,bɑs,бас,бос,wordnet,noun,существительное,1
bottle,bottle,ˈbɑtəl,батл,бутылка,wordnet,noun,существительное,13
bounce,bounce,baʊns,баунс,подпрыгивать,wordnet,noun,существительное,1
boy,boy,bɔɪ,бой,мальчик,wordnet,noun,существительное,1
branching,branching,ˈbrænʧɪŋ,брэнчин,ветвление,wordnet,noun,существительное,2
breakthrough,breakthrough,ˈbreɪkθˌru,брэйксру,прорыв,wordnet,noun,существительное,1
breathed,breathed,briðd,бризд,дышал,wordnet,verb,глагол,2
breathless,breathless,ˈbrɛθləs,брэслэс,задыхающийся,wordnet,adj,прилагательное,1
brevity,brevity,ˈbrɛvəti,брэвэти,краткость,wordnet,noun,существительное,1
brick,brick,brɪk,брик,кирпич,wordnet,noun,существительное,1
bristol,bristol,ˈbrɪstəl,бристл,Бристоль,wordnet,noun,существительное,1
british,british,ˈbrɪtɪʃ,бритиш,британский,wordnet,noun,существительное,1
bro,bro,broʊ,броу,братан,wordnet,,,1
broker,broker,ˈbroʊkər,броукэр,маклер,wordnet,noun,существительное,1
broom,broom,brum,брум,метла,wordnet,noun,существительное,1
brother,brother,ˈbrəðər,брэзэр,брат,wordnet,noun,существительное,1
brown,brown,braʊn,браун,коричневый,wordnet,noun,существительное,2
browsing,browsing,ˈbraʊzɪŋ,браузин,просмотр,wordnet,noun,существительное,4
brute,brute,brut,брут,грубый,wordnet,noun,существительное,1
budget,budget,ˈbəʤɪt,бэджит,бюджет,wordnet,noun,существительное,1
bump,bump,bəmp,бмп,ударяться,wordnet,noun,существительное,1
bunn,bunn,bən,бн,кролик,wordnet,,,1
burden,burden,ˈbərdən,бэрдн,груз,wordnet,noun,существительное,2
burnt,burnt,bərnt,бэрнт,сожженный,wordnet,verb,глагол,1
burrito,burrito,bərˈitoʊ,бэритоу,буррито,wordnet,noun,существительное,2
bute,bute,bjut,бйут,Бьют,wordnet,,,18
calculates,calculates,ˈkælkjəˌleɪts,кэлкйлэйтс,вычисляет,wordnet,verb,глагол,1
calendar,calendar,ˈkæləndər,кэлндэр,календарь,wordnet,noun,существительное,1
calico,calico,ˈkæləˌkoʊ,кэлэкоу,бязь,wordnet,noun,существительное,1
came,came,keɪm,кэйм,пришел,wordnet,verb,глагол,6
camel,camel,ˈkæməl,кэмл,верблюд,wordnet,noun,существительное,1
camera,camera,ˈkæmərə,кэмэрэ,камера,wordnet,noun,существительное,3
canal,canal,kəˈnæl,кэнэл,канал,wordnet,noun,существительное,2
candle,candle,ˈkændəl,кэндл,свеча,wordnet,noun,существительное,1
canvas,canvas,ˈkænvəs,кэнвэс,холст,wordnet,noun,существительное,3
capitalizing,capitalizing,ˈkæpɪtəˌlaɪzɪŋ,кэпитлайзин,капитализация,wordnet,verb,глагол,2
carbon,carbon,ˈkɑrbən,карбн,углерод,wordnet,noun,существительное,4
carl,carl,kɑrl,карл,Карл,wordnet,,,1
carol,carol,ˈkɛrəl,кэрл,Кэрол,wordnet,noun,существительное,15
carrier,carrier,ˈkɛriər,кэриэр,перевозчик,wordnet,noun,существительное,2
carson,carson,ˈkɑrzən,карзн,Карсон,wordnet,noun,существительное,1
casing,casing,ˈkeɪsɪŋ,кэйсин,корпус,wordnet,noun,существительное,2
catacomb,catacomb,ˈkætəˌkoʊm,кэтэкоум,катакомбы,wordnet,noun,существительное,1
catastrophe,catastrophe,kəˈtæstrəfi,кэтэстрэфи,катастрофа,wordnet,noun,существительное,3
categorize,categorize,ˈkætəgərˌaɪz,кэтэгэрайз,классифицировать,wordnet,verb,глагол,1
caterpillar,caterpillar,ˈkætəˌpɪlər,кэтэпилэр,гусеница,wordnet,noun,существительное,1
cel,cel,sɛl,сэл,чел.,wordnet,,,3
celebrate,celebrate,ˈsɛləˌbreɪt,сэлэбрэйт,праздновать,wordnet,verb,глагол,1
celery,celery,ˈsɛləri,сэлэри,сельдерей,wordnet,noun,существительное,7
celine,celine,səˈlin,сэлин,Селин,wordnet,,,2
cellular,cellular,ˈsɛljələr,сэлйлэр,сотовый,wordnet,adj,прилагательное,2
censor,censor,ˈsɛnsər,сэнсэр,цензор,wordnet,noun,существительное,1
censored,censored,ˈsɛnsərd,сэнсэрд,подвергнутый цензуре,wordnet,verb,глагол,4
census,census,ˈsɛnsəs,сэнсэс,перепись,wordnet,noun,существительное,25
cent,cent,sɛnt,сэнт,цент,wordnet,noun,существительное,1
centimeter,centimeter,ˈsɛntəˌmitər,сэнтмитэр,сантиметр,wordnet,noun,существительное,2
chan,chan,ʧæn,чэн,чан,wordnet,,,1
chandelier,chandelier,ʃændəˈlɪr,шэндэлир,люстра,wordnet,noun,существительное,2
chang,chang,ʧæŋ,чэн,Чанг,wordnet,noun,существительное,1
charleston,charleston,ˈʧɑrəlstən,чарлстн,Чарльстон,wordnet,noun,существительное,2
cheaper,cheaper,ˈʧipər,чипэр,дешевле,wordnet,adj,прилагательное,1
chema,chema,ˈʧɛmɑ,чэма,хима,wordnet,,,1
cherry,cherry,ˈʧɛri,чэри,вишня,wordnet,noun,существительное,11
chessboard,chessboard,ˈʧɛsˌbɔrd,чэсборд,шахматная доска,wordnet,noun,существительное,61
chicken,chicken,ˈʧɪkən,чикн,курица,wordnet,noun,существительное,13
chief,chief,ʧif,чиф,главный,wordnet,noun,существительное,1
chiefly,chiefly,ˈʧifli,чифли,главным образом,wordnet,adv,наречие,1
ching,ching,ʧɪŋ,чин,цзин,wordnet,,,9
chop,chop,ʧɑp,чап,нарезать,wordnet,noun,существительное,1
chore,chore,ʧɔr,чор,работа по дому,wordnet,noun,существительное,1
christmas,christmas,ˈkrɪsməs,крисмэс,Рождество,wordnet,noun,существительное,1
chrome,chrome,kroʊm,кроум,хром,wordnet,noun,существительное,5
chromium,chromium,ˈkroʊmiəm,кроумим,хром,wordnet,noun,существительное,1
chun,chun,ʧən,чн,чун,wordnet,,,1
cid,cid,sɪd,сид,Сид,wordnet,noun,существительное,2
circled,circled,ˈsərkəld,сэрклд,обведено кружком,wordnet,verb,глагол,1
circumventing,circumventing,ˌsərkəmˈvɛntɪŋ,сэркмвэнтин,обход,wordnet,verb,глагол,1
claire,claire,klɛr,клэр,Клэр,wordnet,,,1
cleanly,cleanly,ˈklinli,клинли,чисто,wordnet,adj,прилагательное,1
clemons,clemons,ˈklɛmənz,клэмнз,лимоны,wordnet,,,1
clerk,clerk,klərk,клэрк,клерк,wordnet,noun,существительное,1
cleverness,cleverness,ˈklɛvərnəs,клэвэрнэс,ум,wordnet,noun,существительное,1
clip,clip,klɪp,клип,клип,wordnet,noun,существительное,1
clipboard,clipboard,ˈklɪpˌbɔrd,клипборд,буфер обмена,wordnet,noun,существительное,126
clockwise,clockwise,ˈklɑkˌwaɪz,клакуайз,по часовой стрелке,wordnet,adj,прилагательное,5
cod,cod,ˈsiˈoʊˈdi,сиоуди,треска,wordnet,noun,существительное,1
cody,cody,ˈkoʊdi,коуди,Коди,wordnet,noun,существительное,1
coffee,coffee,ˈkɔfi,кофи,кофе,wordnet,noun,существительное,2
coincidentally,coincidentally,koʊˌɪnsɪˈdɛntəli,коуинсидэнтли,случайно,wordnet,adv,наречие,1
colby,colby,ˈkoʊlbi,коулби,Колби,wordnet,,,1
colin,colin,ˈkoʊlɪn,коулин,Колин,wordnet,,,1
collectible,collectible,kəˈlɛktəbəl,кэлэктэбл,коллекционный,wordnet,noun,существительное,1
collectively,collectively,kəˈlɛktɪvli,кэлэктивли,коллективно,wordnet,adv,наречие,1
colorado,colorado,ˌkɑlərˈɑdoʊ,калэрадоу,Колорадо,wordnet,noun,существительное,1
colorful,colorful,ˈkələrfəl,клэрфл,красочный,wordnet,adj,прилагательное,6
columbia,columbia,kəˈləmbiə,кэлмбиэ,Колумбия,wordnet,noun,существительное,1
columbus,columbus,kəˈləmbəs,кэлмбэс,Колумб,wordnet,noun,существительное,1
comic,comic,ˈkɑmɪk,камик,комикс,wordnet,noun,существительное,58
commander,commander,kəˈmændər,кэмэндэр,командир,wordnet,noun,существительное,2
commandment,commandment,kəˈmændmənt,кэмэндмнт,заповедь,wordnet,noun,существительное,1
commerce,commerce,ˈkɑmərs,камэрс,коммерция,wordnet,noun,существительное,2
commercially,commercially,kəˈmərʃəli,кэмэршли,коммерчески,wordnet,adv,наречие,1
commute,commute,kəmˈjut,кмйут,добираться,wordnet,noun,существительное,1
compact,compact,ˈkɑmpækt,кампэкт,компактный,wordnet,noun,существительное,2
compartmentalize,compartmentalize,kəmˌpɑrtˈmɛntəˌlaɪz,кмпартмэнтлайз,разделять,wordnet,verb,глагол,1
competitor,competitor,kəmˈpɛtɪtər,кмпэтитэр,конкурент,wordnet,noun,существительное,6
compiled,compiled,kəmˈpaɪld,кмпайлд,скомпилировано,wordnet,verb,глагол,6
compiler,compiler,kəmˈpaɪlər,кмпайлэр,компилятор,wordnet,noun,существительное,1
compiling,compiling,kəmˈpaɪlɪŋ,кмпайлин,компиляция,wordnet,noun,существительное,5
complement,complement,ˈkɑmpləmənt,камплмнт,дополнять,wordnet,noun,существительное,1
compliance,compliance,kəmˈplaɪəns,кмплайнс,согласие,wordnet,noun,существительное,1
composite,composite,kəmˈpɑzət,кмпазэт,композитный,wordnet,noun,существительное,1
compress,compress,ˈkɑmprɛs,кампрэс,компресс,wordnet,noun,существительное,8
compressed,compressed,kəmˈprɛst,кмпрэст,сжатый,wordnet,verb,глагол,12
compressing,compressing,kəmˈprɛsɪŋ,кмпрэсин,сжимающий,wordnet,noun,существительное,5
compression,compression,kəmˈprɛʃən,кмпрэшн,сжатие,wordnet,noun,существительное,3
compromised,compromised,ˈkɑmprəˌmaɪzd,кампрмайзд,скомпрометирован,wordnet,verb,глагол,1
computerized,computerized,kəmˈpjutərˌaɪzd,кмпйутэрайзд,компьютеризированный,wordnet,verb,глагол,1
con,con,kɑn,кан,мошенничество,wordnet,noun,существительное,2
concatenated,concatenated,kənˈkætəˌneɪtəd,кнкэтнэйтэд,объединенный,wordnet,verb,глагол,5
concatenates,concatenates,kənˈkætəˌneɪts,кнкэтнэйтс,объединяет,wordnet,verb,глагол,1
concatenating,concatenating,kənˈkætəˌneɪtɪŋ,кнкэтнэйтин,конкатенация,wordnet,verb,глагол,1
concentrate,concentrate,ˈkɑnsənˌtreɪt,канснтрэйт,сконцентрироваться,wordnet,noun,существительное,3
conceptual,conceptual,kənˈsɛpʧuəl,кнсэпчул,концептуальный,wordnet,adj,прилагательное,1
confusingly,confusingly,kənfˈjuzɪŋli,кнфйузинли,запутанно,wordnet,adv,наречие,1
conn,conn,kɑn,кан,конн,wordnet,verb,глагол,116
connecticut,connecticut,kəˈnɛtəkət,кэнэтэкэт,Коннектикут,wordnet,noun,существительное,1
connor,connor,ˈkɑnər,канэр,Коннор,wordnet,,,3
connotation,connotation,ˌkɑnəˈteɪʃən,канэтэйшн,коннотация,wordnet,noun,существительное,1
conscious,conscious,ˈkɑnʃəs,каншэс,сознательный,wordnet,adj,прилагательное,1
consent,consent,kənˈsɛnt,кнсэнт,согласие,wordnet,noun,существительное,11
consequence,consequence,ˈkɑnsəkwəns,кансэкунс,последствие,wordnet,noun,существительное,1
consisting,consisting,kənˈsɪstɪŋ,кнсистин,состоящий,wordnet,verb,глагол,2
contacted,contacted,ˈkɑnˌtæktɪd,кантэктид,связался,wordnet,verb,глагол,2
convey,convey,kənˈveɪ,кнвэй,передавать,wordnet,verb,глагол,2
convoluted,convoluted,ˈkɑnvəˌlutəd,канвлутэд,запутанный,wordnet,verb,глагол,2
cooperative,cooperative,koʊˈɑpərˌeɪtɪv,коуапэрэйтив,кооператив,wordnet,noun,существительное,1
coordinated,coordinated,koʊˈɔrdəneɪtɪd,коуорднэйтид,скоординированный,wordnet,verb,глагол,1
copilot,copilot,ˈkoʊpaɪlət,коупайлэт,второй пилот,wordnet,noun,существительное,1
cornflower,cornflower,ˈkɔrnˌflaʊər,корнфлауэр,василек,wordnet,noun,существительное,1
corrected,corrected,kərˈɛktɪd,кэрэктид,исправленный,wordnet,verb,глагол,4
correction,correction,kərˈɛkʃən,кэрэкшн,исправление,wordnet,noun,существительное,2
corrects,corrects,kərˈɛkts,кэрэктс,исправляет,wordnet,verb,глагол,2
corrupt,corrupt,kərəpt,кэрэпт,коррумпированный,wordnet,verb,глагол,2
cory,cory,ˈkɔˌri,кори,Кори,wordnet,,,2
cosmetic,cosmetic,kɑzˈmɛtɪk,казмэтик,косметический,wordnet,noun,существительное,2
cou,cou,ku,ку,ку,wordnet,,,1
countdown,countdown,ˈkaʊntˌdaʊn,каунтдаун,обратный отсчет,wordnet,noun,существительное,20
counterclockwise,counterclockwise,ˌkaʊnərˈklɔkwaɪz,каунэрклокуайз,против часовой стрелки,wordnet,adj,прилагательное,6
counterfeit,counterfeit,ˈkaʊnərˌfɪt,каунэрфит,поддельный,wordnet,noun,существительное,2
countless,countless,ˈkaʊntləs,каунтлэс,бесчисленное множество,wordnet,adj,прилагательное,2
county,county,ˈkaʊnti,каунти,графство,wordnet,noun,существительное,52
cousin,cousin,ˈkəzən,кэзн,двоюродный брат,wordnet,noun,существительное,3
coworker,coworker,ˈkoʊˈwərkər,коууэркэр,коллега,wordnet,,,1
crawling,crawling,ˈkrɔlɪŋ,кролин,ползать,wordnet,noun,существительное,1
creature,creature,ˈkriʧər,кричэр,существо,wordnet,noun,существительное,2
credited,credited,ˈkrɛdɪtɪd,крэдитид,зачислено,wordnet,verb,глагол,1
credulous,credulous,ˈkrɛʤələs,крэджлэс,доверчивый,wordnet,adj,прилагательное,1
crib,crib,krɪb,криб,кроватка,wordnet,noun,существительное,1
cricket,cricket,ˈkrɪkɪt,крикит,крикет,wordnet,noun,существительное,1
criterion,criterion,kraɪˈtɪriən,крайтирин,критерий,wordnet,noun,существительное,3
critically,critically,ˈkrɪtɪkəli,критикли,критически,wordnet,adv,наречие,1
cron,cron,krɑn,кран,хрон,wordnet,,,3
crop,crop,krɑp,крап,обрезать,wordnet,noun,существительное,14
cropped,cropped,krɑpt,крапт,обрезанный,wordnet,verb,глагол,12
cropping,cropping,ˈkrɑpɪŋ,крапин,обрезка,wordnet,verb,глагол,7
crosby,crosby,ˈkrɔzbi,крозби,Кросби,wordnet,noun,существительное,1
crud,crud,krəd,крэд,грязь,wordnet,noun,существительное,7
cruel,cruel,kruəl,крул,жестокий,wordnet,adj,прилагательное,1
crummy,crummy,ˈkrəmi,крми,вялый,wordnet,adj,прилагательное,1
crunch,crunch,krənʧ,крнч,хруст,wordnet,noun,существительное,1
cry,cry,kraɪ,край,плакать,wordnet,noun,существительное,1
cur,cur,kər,кэр,дворняга,wordnet,noun,существительное,4
currency,currency,ˈkərənsi,кэрнси,валюта,wordnet,noun,существительное,1
curse,curse,kərs,кэрс,проклинать,wordnet,noun,существительное,2
cutting,cutting,ˈkətɪŋ,кэтин,резка,wordnet,noun,существительное,1
cyan,cyan,saɪæn,сайэн,голубой,wordnet,noun,существительное,1
cyrillic,cyrillic,sərˈɪlɪk,сэрилик,кириллица,wordnet,noun,существительное,1
dab,dab,dæb,дэб,мазать,wordnet,noun,существительное,3
dagger,dagger,ˈdægər,дэгэр,кинжал,wordnet,noun,существительное,5
daisy,daisy,ˈdeɪzi,дэйзи,маргаритка,wordnet,noun,существительное,2
dakota,dakota,dəˈkoʊtə,дэкоутэ,Дакота,wordnet,noun,существительное,2
dat,dat,dæt,дэт,это,wordnet,noun,существительное,1
deaf,deaf,dɛf,дэф,глухой,wordnet,noun,существительное,2
dear,dear,dɪr,дир,дорогой,wordnet,noun,существительное,5
debarros,debarros,deɪˈbɑroʊz,дэйбароуз,дебаррос,wordnet,,,1
debating,debating,dəˈbeɪtɪŋ,дэбэйтин,обсуждение,wordnet,verb,глагол,1
dec,dec,dɛk,дэк,декабрь,wordnet,noun,существительное,3
december,december,dɪˈsɛmbər,дисэмбэр,декабрь,wordnet,noun,существительное,1
decidedly,decidedly,ˌdɪˈsaɪdədli,дисайдэдли,решительно,wordnet,adv,наречие,2
declared,declared,dɪˈklɛrd,диклэрд,заявил,wordnet,verb,глагол,1
declares,declares,dɪˈklɛrz,диклэрз,заявляет,wordnet,verb,глагол,1
declaring,declaring,dɪˈklɛrɪŋ,диклэрин,объявляя,wordnet,verb,глагол,2
decode,decode,dɪˈkoʊd,дикоуд,декодировать,wordnet,verb,глагол,3
decoration,decoration,ˌdɛkərˈeɪʃən,дэкэрэйшн,украшение,wordnet,noun,существительное,1
deduct,deduct,dɪˈdəkt,дидэкт,вычесть,wordnet,verb,глагол,1
deducted,deducted,dɪˈdəktɪd,дидэктид,вычтено,wordnet,verb,глагол,1
deduction,deduction,dɪˈdəkʃən,дидэкшн,вычет,wordnet,noun,существительное,2
defeat,defeat,dɪˈfit,дифит,поражение,wordnet,noun,существительное,1
defense,defense,dɪˈfɛns,дифэнс,защита,wordnet,noun,существительное,1
deflate,deflate,dɪˈfleɪt,дифлэйт,сдувать,wordnet,verb,глагол,2
deflated,deflated,dɪˈfleɪtɪd,дифлэйтид,сдутый,wordnet,verb,глагол,3
delaware,delaware,ˈdɛləˌwɛr,дэлэуэр,Делавэр,wordnet,noun,существительное,1
delay,delay,dɪˈleɪ,дилэй,задерживать,wordnet,noun,существительное,7
delayed,delayed,dɪˈleɪd,дилэйд,отложенный,wordnet,verb,глагол,1
delgado,delgado,dɛlˈgɑdoʊ,дэлгадоу,Дельгадо,wordnet,,,1
delicious,delicious,dɪˈlɪʃəs,дилишэс,вкусный,wordnet,noun,существительное,5
deliver,deliver,dɪˈlɪvər,диливэр,доставлять,wordnet,verb,глагол,2
delivered,delivered,dɪˈlɪvərd,диливэрд,доставленный,wordnet,verb,глагол,1
delivers,delivers,dɪˈlɪvərz,диливэрз,доставляет,wordnet,verb,глагол,1
demo,demo,ˈdɛmoʊ,дэмоу,демо,wordnet,noun,существительное,8
denied,denied,dɪˈnaɪd,динайд,отклонен,wordnet,verb,глагол,2
denotes,denotes,dɪˈnoʊts,диноутс,обозначает,wordnet,verb,глагол,1
denver,denver,ˈdɛnvər,дэнвэр,Денвер,wordnet,noun,существительное,2
deployable,deployable,dɪˈplɔɪəbəl,диплойэбл,развертываемый,wordnet,,,2
deposited,deposited,dɪˈpɑzətəd,дипазэтэд,депонированный,wordnet,verb,глагол,1
deprecate,deprecate,ˈdɛprəˌkeɪt,дэпрэкэйт,осуждать,wordnet,verb,глагол,1
deprive,deprive,dɪˈpraɪv,дипрайв,лишать,wordnet,verb,глагол,1
der,der,dər,дэр,дер,wordnet,adj,прилагательное,4
despair,despair,dɪˈspɛr,диспэр,отчаяние,wordnet,noun,существительное,1
detailing,detailing,dɪˈteɪlɪŋ,дитэйлин,детализация,wordnet,noun,существительное,1
detection,detection,dɪˈtɛkʃən,дитэкшн,обнаружение,wordnet,noun,существительное,3
detour,detour,ˈditʊr,дитур,объезд,wordnet,noun,существительное,1
diamond,diamond,ˈdaɪmənd,даймнд,алмаз,wordnet,noun,существительное,4
diced,diced,daɪst,дайст,нарезанный кубиками,wordnet,verb,глагол,1
ding,ding,dɪŋ,дин,звон,wordnet,noun,существительное,16
dinosaur,dinosaur,ˈdaɪnəˌsɔr,дайнэсор,динозавр,wordnet,noun,существительное,4
directing,directing,dɪˈrɛktɪŋ,дирэктин,режиссура,wordnet,verb,глагол,1
dis,dis,dɪs,дис,дис,wordnet,noun,существительное,2
disability,disability,ˌdɪsəˈbɪlɪti,дисэбилити,инвалидность,wordnet,noun,существительное,1
disables,disables,dɪˈseɪbəlz,дисэйблз,отключает,wordnet,verb,глагол,1
disagree,disagree,dɪsəˈgri,дисэгри,не согласен,wordnet,verb,глагол,2
disc,disc,dɪsk,диск,диск,wordnet,noun,существительное,4
discontinued,discontinued,dɪskənˈtɪnjud,дискнтинйуд,прекращено,wordnet,verb,глагол,1
discrepancy,discrepancy,dɪˈskrɛpənsi,дискрэпнси,несоответствие,wordnet,noun,существительное,12
disgrace,disgrace,dɪsˈgreɪs,дисгрэйс,позор,wordnet,noun,существительное,2
dishonest,dishonest,dɪˈsɑnəst,дисанэст,нечестный,wordnet,adj,прилагательное,2
dismally,dismally,ˈdɪzməli,дизмли,уныло,wordnet,adv,наречие,2
disney,disney,ˈdɪzni,дизни,Дисней,wordnet,noun,существительное,1
displacing,displacing,dɪˈspleɪsɪŋ,дисплэйсин,вытеснение,wordnet,verb,глагол,1
disposable,disposable,dɪˈspoʊzəbəl,диспоузэбл,одноразовый,wordnet,noun,существительное,2
disposition,disposition,ˌdɪspəˈzɪʃən,диспэзишн,расположение,wordnet,noun,существительное,4
distorted,distorted,dɪˈstɔrtɪd,дистортид,искаженный,wordnet,verb,глагол,1
dom,dom,dɑm,дам,дом,wordnet,,,6
door,door,dɔr,дор,дверь,wordnet,noun,существительное,1
doubtful,doubtful,ˈdaʊtfəl,даутфл,сомнительный,wordnet,adj,прилагательное,2
dove,dove,dəv,дэв,голубь,wordnet,noun,существительное,2
dow,dow,daʊ,дау,Доу,wordnet,,,1
downgrade,downgrade,ˈdaʊnˈgreɪd,даунгрэйд,понизить рейтинг,wordnet,noun,существительное,1
downright,downright,ˈdaʊnˌraɪt,даунрайт,совершенно,wordnet,adj,прилагательное,1
downside,downside,ˈdaʊnˌsaɪd,даунсайд,обратная сторона,wordnet,noun,существительное,3
downward,downward,ˈdaʊnwərd,даунуэрд,вниз,wordnet,adj,прилагательное,3
doyle,doyle,dɔɪl,дойл,Дойл,wordnet,,,1
